state,participation,total
Alabama,7.0,1143
Alaska,41.0,1097
Arizona,31.0,1134
Arkansas,6.0,1141
California,63.0,1065
Colorado,100.0,1024
Connecticut,100.0,1046
Delaware,100.0,985
District of Columbia,94.0,975
Florida,100.0,999
Georgia,71.0,1058
Hawaii,54.0,1100
Idaho,100.0,993
Illinois,100.0,1013
Indiana,66.0,1080
Iowa,3.0,1244
Kansas,4.0,1241
Kentucky,4.0,1232
Louisiana,5.0,1200
Maine,99.0,1013
Maryland,82.0,1058
Massachusetts,81.0,1120
Michigan,100.0,1003
Minnesota,4.0,1284
Mississippi,3.0,1237
Missouri,4.0,1236
Montana,9.0,1199
Nebraska,3.0,1260
Nevada,20.0,1156
New Hampshire,95.0,1059
New Jersey,82.0,1090
New Mexico,18.0,1073
New York,79.0,1064
North Carolina,51.0,1100
North Dakota,2.0,1263
Ohio,19.0,1097
Oklahoma,22.0,963
Oregon,51.0,1112
Pennsylvania,70.0,1082
Rhode Island,100.0,995
South Carolina,68.0,1030
South Dakota,3.0,1268
Tennessee,7.0,1220
Texas,68.0,1022
Utah,4.0,1230
Vermont,66.0,1106
Virginia,68.0,1119
Washington,70.0,1074
West Virginia,99.0,943
Wisconsin,3.0,1283
Wyoming,3.0,1238
